[0.000000] (-) TimerEvent: {}
[0.000334] (articubot_one) JobQueued: {'identifier': 'articubot_one', 'dependencies': OrderedDict()}
[0.000380] (articubot_one) JobStarted: {'identifier': 'articubot_one'}
[0.026811] (articubot_one) JobProgress: {'identifier': 'articubot_one', 'progress': 'cmake'}
[0.027300] (articubot_one) JobProgress: {'identifier': 'articubot_one', 'progress': 'build'}
[0.028157] (articubot_one) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/notsoadmin/dev_ws/build/articubot_one', '--', '-j16', '-l16'], 'cwd': '/home/notsoadmin/dev_ws/build/articubot_one', 'env': OrderedDict([('HOSTNAME', 'ros-humble'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/notsoadmin'), ('ROS_PYTHON_VERSION', '3'), ('COLCON_PREFIX_PATH', '/home/notsoadmin/dev_ws/install'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm'), ('ROS_LOCALHOST_ONLY', '0'), ('QT_X11_NO_MITSHM', '1'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('XDG_RUNTIME_DIR', '/run/user/0'), ('DISPLAY', ':0'), ('LANG', 'C.UTF-8'), ('AMENT_PREFIX_PATH', '/home/notsoadmin/dev_ws/install/twist_mux:/home/notsoadmin/dev_ws/install/articubot_one:/opt/ros/humble'), ('PWD', '/home/notsoadmin/dev_ws/build/articubot_one'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/home/notsoadmin/dev_ws/install/twist_mux:/home/notsoadmin/dev_ws/install/articubot_one:/opt/ros/humble')]), 'shell': False}
[0.082739] (articubot_one) CommandEnded: {'returncode': 0}
[0.083612] (articubot_one) JobProgress: {'identifier': 'articubot_one', 'progress': 'install'}
[0.098594] (articubot_one) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/notsoadmin/dev_ws/build/articubot_one'], 'cwd': '/home/notsoadmin/dev_ws/build/articubot_one', 'env': OrderedDict([('HOSTNAME', 'ros-humble'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/notsoadmin'), ('ROS_PYTHON_VERSION', '3'), ('COLCON_PREFIX_PATH', '/home/notsoadmin/dev_ws/install'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm'), ('ROS_LOCALHOST_ONLY', '0'), ('QT_X11_NO_MITSHM', '1'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('XDG_RUNTIME_DIR', '/run/user/0'), ('DISPLAY', ':0'), ('LANG', 'C.UTF-8'), ('AMENT_PREFIX_PATH', '/home/notsoadmin/dev_ws/install/twist_mux:/home/notsoadmin/dev_ws/install/articubot_one:/opt/ros/humble'), ('PWD', '/home/notsoadmin/dev_ws/build/articubot_one'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/home/notsoadmin/dev_ws/install/twist_mux:/home/notsoadmin/dev_ws/install/articubot_one:/opt/ros/humble')]), 'shell': False}
[0.100328] (-) TimerEvent: {}
[0.113358] (articubot_one) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.119596] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/environment/ament_prefix_path.sh\n'}
[0.119778] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/environment/ament_prefix_path.dsv\n'}
[0.119960] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/environment/path.sh\n'}
[0.120156] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/environment/path.dsv\n'}
[0.120343] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/local_setup.bash\n'}
[0.120543] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/local_setup.sh\n'}
[0.120717] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/local_setup.zsh\n'}
[0.120879] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/local_setup.dsv\n'}
[0.121050] (articubot_one) StdoutLine: {'line': b'-- Symlinking: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/package.dsv\n'}
[0.135486] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/ament_index/resource_index/packages/articubot_one\n'}
[0.135783] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/cmake/articubot_oneConfig.cmake\n'}
[0.136105] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/cmake/articubot_oneConfig-version.cmake\n'}
[0.136268] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share/articubot_one/package.xml\n'}
[0.136582] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//launch/launch_robot.launch.py\n'}
[0.136837] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//launch/launch_sim.launch.py\n'}
[0.137141] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//launch/localization.launch.py\n'}
[0.137349] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//launch/navigation_launch.py\n'}
[0.137559] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//launch/online_async_slam.launch.py\n'}
[0.137749] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//launch/rplidar.launch.py\n'}
[0.137916] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//launch/rsp.launch.py\n'}
[0.138068] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//config/drive_bot.rviz\n'}
[0.138213] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//config/empty.yaml\n'}
[0.138353] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//config/mapper_params_online_async.yaml\n'}
[0.138491] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//config/new_bot.rviz\n'}
[0.138628] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//config/twist_mux.yaml\n'}
[0.138764] (articubot_one) StdoutLine: {'line': b'-- Up-to-date symlink: /home/notsoadmin/dev_ws/install/articubot_one/share//config/view_bot.rviz\n'}
[0.140776] (articubot_one) CommandEnded: {'returncode': 0}
[0.165873] (articubot_one) JobEnded: {'identifier': 'articubot_one', 'rc': 0}
[0.167125] (-) EventReactorShutdown: {}
